customer_id,segment,segment_name,recency,frequency,monetary_gross,churned
12454,2,Potential Loyalists,203,6,12931.44,0
12455,2,Potential Loyalists,104,5,5066.99,0
12457,0,Loyal Customers,41,7,1419.93,0
12458,1,At Risk,92,3,1077.0099999999998,0
12462,1,At Risk,102,2,594.1100000000001,0
12464,0,Loyal Customers,8,4,439.85,0
12467,1,At Risk,194,2,132.8,1
12468,2,Potential Loyalists,124,8,2765.79,0
12469,1,At Risk,330,2,3070.5399999999995,1
12471,3,Champions,12,100,25061.86,0
12472,3,Champions,62,30,13277.32,0
12474,3,Champions,8,37,7083.790000000001,0
12476,3,Champions,11,23,8520.09,0
12477,2,Potential Loyalists,47,6,11633.6,0
12480,2,Potential Loyalists,75,6,3338.49,0
12481,3,Champions,12,14,8947.619999999999,0
12482,3,Champions,384,27,21941.72,1
12483,3,Champions,13,18,2896.259999999999,0
12484,2,Potential Loyalists,85,9,2646.1000000000004,0
12487,1,At Risk,538,2,285.3,1
12490,3,Champions,22,13,4974.43,0
12494,0,Loyal Customers,4,12,1144.41,0
12495,1,At Risk,442,2,277.4,1
12496,1,At Risk,428,2,54.09,1
12497,2,Potential Loyalists,208,3,5043.4,0
12500,2,Potential Loyalists,74,15,2637.5900000000006,0
12501,1,At Risk,123,2,2025.39,1
12502,0,Loyal Customers,25,3,1478.65,0
12504,1,At Risk,225,2,261.0,0
12505,1,At Risk,201,2,787.2,1
12507,1,At Risk,106,2,817.4100000000001,0
12510,2,Potential Loyalists,133,8,2821.51,0
12511,2,Potential Loyalists,222,2,3084.0199999999995,1
12514,1,At Risk,75,2,1597.7600000000002,1
12516,1,At Risk,238,2,1102.56,0
12519,1,At Risk,272,2,349.7,0
12523,3,Champions,60,21,2812.57,0
12524,3,Champions,12,15,8321.77,0
12525,2,Potential Loyalists,299,8,883.73,1
12527,1,At Risk,102,4,653.72,0
12528,1,At Risk,67,3,681.66,0
12529,1,At Risk,330,2,316.48,1
12530,2,Potential Loyalists,41,8,2595.98,0
12531,1,At Risk,488,2,1645.9799999999996,0
12533,2,Potential Loyalists,426,6,1223.89,1
12539,2,Potential Loyalists,70,6,10136.089999999998,0
12540,3,Champions,0,22,12834.78,0
12542,1,At Risk,292,4,481.88000000000005,1
12547,0,Loyal Customers,5,3,299.58,1
12549,2,Potential Loyalists,383,5,1570.68,1
12553,0,Loyal Customers,12,11,2327.09,0
12557,2,Potential Loyalists,64,6,11579.8,0
12559,1,At Risk,118,3,525.71,1
12562,0,Loyal Customers,6,3,1432.14,0
12565,1,At Risk,89,2,145.92,1
12567,3,Champions,9,10,7328.9,0
12573,0,Loyal Customers,35,5,717.41,1
12575,1,At Risk,265,2,568.8199999999999,1
12576,0,Loyal Customers,26,7,1168.54,0
12577,2,Potential Loyalists,167,6,1191.84,0
12578,2,Potential Loyalists,124,6,3036.6,0
12580,1,At Risk,54,2,962.9,1
12582,0,Loyal Customers,46,4,1820.4,1
12583,3,Champions,8,18,9416.45,0
12585,0,Loyal Customers,42,4,1824.1,1
12586,2,Potential Loyalists,176,4,1865.73,0
12588,1,At Risk,207,3,543.88,0
12589,2,Potential Loyalists,222,6,2720.23,0
12590,0,Loyal Customers,19,3,9341.260000000002,1
12591,1,At Risk,125,3,1128.15,1
12592,0,Loyal Customers,21,3,1535.84,0
12594,3,Champions,0,11,3316.88,0
12598,0,Loyal Customers,28,9,2526.7499999999995,0
12599,0,Loyal Customers,16,9,1530.0,0
12600,3,Champions,12,20,3309.84,0
12601,0,Loyal Customers,0,6,523.16,0
12605,1,At Risk,173,4,1124.95,1
12609,2,Potential Loyalists,126,7,2308.94,0
12613,3,Champions,5,10,4539.21,0
12615,2,Potential Loyalists,221,7,3269.79,0
12616,1,At Risk,60,5,601.3999999999999,0
12619,0,Loyal Customers,42,3,735.8,0
12621,3,Champions,8,32,16731.96,0
12623,2,Potential Loyalists,84,7,3315.84,1
12625,0,Loyal Customers,19,5,4678.879999999999,1
12626,1,At Risk,119,4,1094.1,0
12629,1,At Risk,193,2,1198.22,1
12631,2,Potential Loyalists,239,6,2841.07,0
12632,1,At Risk,328,4,714.8800000000001,1
12633,0,Loyal Customers,4,7,4757.73,0
12635,1,At Risk,200,2,1115.23,0
12637,2,Potential Loyalists,47,9,4548.16,0
12639,0,Loyal Customers,46,3,1072.37,1
12643,3,Champions,28,10,6141.700000000001,0
12644,2,Potential Loyalists,238,5,1422.5800000000002,0
12645,0,Loyal Customers,27,7,2329.0200000000004,0
12647,3,Champions,7,38,13711.84,0
12648,1,At Risk,242,4,738.9499999999999,0
12649,0,Loyal Customers,20,8,1866.1400000000003,0
12651,1,At Risk,142,5,377.75000000000006,1
12652,1,At Risk,130,3,891.0299999999999,1
12653,2,Potential Loyalists,104,2,2730.08,0
12654,0,Loyal Customers,5,3,301.75,0
12656,0,Loyal Customers,11,7,3530.2599999999998,0
12662,3,Champions,47,15,4066.64,0
12663,1,At Risk,432,3,185.4,1
12664,0,Loyal Customers,40,4,2211.74,0
12665,1,At Risk,132,5,259.6,1
12666,1,At Risk,167,2,1248.42,1
12668,2,Potential Loyalists,56,9,9229.0,0
12670,0,Loyal Customers,7,4,1628.63,0
12672,1,At Risk,137,3,407.05,1
12673,1,At Risk,134,2,786.4000000000001,0
12675,1,At Risk,361,4,874.5000000000001,1
12676,2,Potential Loyalists,68,6,1869.1,0
12677,1,At Risk,363,3,359.1,1
12678,3,Champions,61,10,19895.56,0
12679,0,Loyal Customers,13,3,798.3799999999999,0
12681,3,Champions,6,42,22875.67,0
12682,3,Champions,0,32,15384.98,0
12683,3,Champions,19,19,7737.779999999999,0
12691,1,At Risk,127,3,468.8,0
12693,0,Loyal Customers,19,9,1225.88,0
12694,1,At Risk,223,2,901.68,0
12695,0,Loyal Customers,18,4,878.27,0
12696,1,At Risk,242,3,731.9100000000001,1
12701,2,Potential Loyalists,50,5,1823.78,0
12703,1,At Risk,441,5,632.9799999999999,0
12705,3,Champions,9,12,7661.91,0
12708,3,Champions,8,20,3507.36,0
12709,3,Champions,22,38,24564.69,0
12711,1,At Risk,419,2,1213.05,1
12712,3,Champions,8,22,4489.01,0
12714,3,Champions,14,9,10138.77,0
12717,1,At Risk,53,2,737.6700000000002,0
12720,3,Champions,0,22,4208.71,0
12721,2,Potential Loyalists,54,7,2230.7700000000004,0
12724,2,Potential Loyalists,140,4,1297.0100000000002,0
12725,2,Potential Loyalists,179,3,2278.5599999999995,1
12726,0,Loyal Customers,22,8,2300.78,0
12727,2,Potential Loyalists,77,8,3202.15,0
12728,1,At Risk,65,4,725.15,0
12731,3,Champions,20,12,14965.89,0
12733,2,Potential Loyalists,42,6,2424.02,1
12734,1,At Risk,160,3,603.6499999999999,1
12735,1,At Risk,123,2,689.57,1
12742,1,At Risk,407,2,1201.52,1
12744,2,Potential Loyalists,56,6,8209.58,0
12745,1,At Risk,294,3,925.41,1
12746,1,At Risk,335,3,254.55,1
12747,3,Champions,6,27,7171.929999999999,0
12748,3,Champions,0,216,29339.03,0
12749,0,Loyal Customers,8,10,3665.58,0
12753,3,Champions,35,7,12940.509999999998,0
12754,0,Loyal Customers,43,3,3010.74,1
12755,3,Champions,57,21,9030.660000000002,1
12758,2,Potential Loyalists,84,7,8681.84,0
12759,2,Potential Loyalists,83,6,3622.1,0
12765,2,Potential Loyalists,280,6,1299.58,1
12766,2,Potential Loyalists,48,8,6254.360000000001,0
12768,1,At Risk,239,2,168.69,1
12770,0,Loyal Customers,18,7,3246.45,1
12771,1,At Risk,272,2,226.3,1
12773,1,At Risk,372,2,124.25,1
12775,0,Loyal Customers,11,6,939.96,0
12778,2,Potential Loyalists,67,6,1211.5100000000002,0
12779,3,Champions,6,16,5715.32,0
12781,1,At Risk,60,2,549.26,0
12782,2,Potential Loyalists,61,12,3234.2699999999995,0
12785,1,At Risk,172,4,904.4,1
12787,0,Loyal Customers,0,2,523.62,0
12788,1,At Risk,271,4,384.9000000000001,1
12789,1,At Risk,320,2,148.5,0
12790,0,Loyal Customers,0,3,546.85,1
12791,1,At Risk,181,5,834.43,1
12792,1,At Risk,64,3,715.0099999999999,1
12793,1,At Risk,142,3,849.3299999999999,1
12797,1,At Risk,168,6,694.11,1
12800,1,At Risk,278,2,500.25,1
12801,1,At Risk,285,2,871.82,1
12802,2,Potential Loyalists,252,5,1788.84,0
12804,1,At Risk,273,2,327.02,1
12805,1,At Risk,189,4,1230.95,1
12806,1,At Risk,380,2,2558.96,1
12807,1,At Risk,191,2,250.35,1
12808,1,At Risk,176,3,495.85,0
12809,2,Potential Loyalists,361,6,979.03,0
12810,1,At Risk,342,2,534.99,1
12811,1,At Risk,69,4,893.9000000000001,1
12813,1,At Risk,309,3,1621.8,1
12817,1,At Risk,89,3,570.98,1
12820,2,Potential Loyalists,134,10,1917.64,0
12821,1,At Risk,22,2,220.8,1
12823,3,Champions,62,16,5736.5,0
12825,1,At Risk,329,2,518.63,1
12826,2,Potential Loyalists,124,10,2178.13,0
12829,1,At Risk,130,4,385.3,1
12831,1,At Risk,70,3,451.11000000000007,1
12835,3,Champions,226,49,6043.31,1
12836,3,Champions,27,15,5634.16,0
12838,2,Potential Loyalists,181,11,3106.1400000000003,0
12839,3,Champions,6,20,5876.2,0
12840,0,Loyal Customers,22,9,2893.17,0
12841,3,Champions,30,28,5479.59,0
12842,1,At Risk,116,3,1109.73,0
12843,3,Champions,21,26,5391.72,0
12844,1,At Risk,250,2,322.64,0
12845,1,At Risk,75,4,354.09000000000003,1
12849,2,Potential Loyalists,76,5,2717.6800000000003,0
12852,1,At Risk,98,2,311.55,1
12853,0,Loyal Customers,22,12,2835.4,0
12854,2,Potential Loyalists,49,10,2479.89,0
12855,1,At Risk,180,4,650.94,1
12857,0,Loyal Customers,18,7,3688.000000000001,1
12858,1,At Risk,191,2,177.92000000000002,1
12862,1,At Risk,233,2,1008.3200000000002,1
12863,0,Loyal Customers,7,6,2271.3500000000004,0
12865,2,Potential Loyalists,167,3,1755.2400000000002,0
12866,1,At Risk,91,3,1092.35,1
12867,3,Champions,22,11,5615.01,0
12868,0,Loyal Customers,26,7,1999.0,0
12870,2,Potential Loyalists,174,4,1676.9499999999998,1
12871,0,Loyal Customers,15,2,495.38,0
12872,2,Potential Loyalists,134,13,3685.49,1
12873,2,Potential Loyalists,90,3,2027.3,1
12874,1,At Risk,193,3,873.4200000000001,1
12875,2,Potential Loyalists,170,4,1307.52,0
12876,0,Loyal Customers,4,4,2365.2,0
12877,3,Champions,8,15,2101.44,0
12880,1,At Risk,189,2,640.1299999999999,1
12889,1,At Risk,189,6,385.46,1
12891,0,Loyal Customers,28,11,755.5,0
12897,0,Loyal Customers,12,4,514.25,1
12898,1,At Risk,271,2,310.96,1
12905,1,At Risk,384,3,1018.42,1
12907,1,At Risk,203,3,508.91,1
12908,2,Potential Loyalists,120,5,1344.0,0
12909,0,Loyal Customers,5,9,2452.8900000000003,0
12910,0,Loyal Customers,5,9,3863.98,0
12913,2,Potential Loyalists,90,11,5083.620000000001,0
12915,2,Potential Loyalists,180,7,1010.75,0
12916,0,Loyal Customers,9,7,3960.650000000001,0
12917,2,Potential Loyalists,208,7,3765.2,0
12920,1,At Risk,379,3,323.86,0
12921,3,Champions,6,75,24848.39,0
12923,1,At Risk,198,2,612.9,0
12924,0,Loyal Customers,6,13,2183.02,0
12926,2,Potential Loyalists,219,4,1548.08,1
12928,2,Potential Loyalists,49,9,3022.23,0
12931,3,Champions,11,56,54212.08,0
12932,2,Potential Loyalists,347,8,1698.56,1
12933,2,Potential Loyalists,91,9,1190.25,0
12935,3,Champions,6,14,2949.3900000000003,0
12937,0,Loyal Customers,5,7,2021.5699999999997,0
12939,3,Champions,81,15,20911.32,0
12942,0,Loyal Customers,5,2,655.27,0
12943,1,At Risk,109,4,496.5,1
12945,1,At Risk,96,2,900.11,1
12947,0,Loyal Customers,28,6,1339.3100000000002,0
12948,0,Loyal Customers,22,5,1138.74,0
12949,3,Champions,14,23,13610.18,0
12951,3,Champions,12,17,2774.53,0
12956,1,At Risk,114,4,521.8900000000001,1
12957,3,Champions,12,14,5818.2,0
12958,1,At Risk,208,2,539.49,1
12960,1,At Risk,221,4,1322.07,1
12963,2,Potential Loyalists,173,6,2110.76,0
12967,2,Potential Loyalists,110,4,4306.92,1
12970,2,Potential Loyalists,130,8,1095.4700000000005,0
12971,3,Champions,4,71,9421.1,0
12972,2,Potential Loyalists,221,6,1161.1999999999998,1
12974,0,Loyal Customers,5,2,408.9500000000001,1
12975,2,Potential Loyalists,238,8,2100.09,1
12976,0,Loyal Customers,19,8,3156.38,1
12977,1,At Risk,309,3,478.39,0
12978,2,Potential Loyalists,193,6,2502.82,1
12979,1,At Risk,537,2,517.6999999999999,1
12980,3,Champions,18,21,13437.24,0
12982,2,Potential Loyalists,47,17,2744.8100000000004,1
12986,2,Potential Loyalists,210,12,2729.84,1
12987,0,Loyal Customers,5,4,1057.81,0
12989,3,Champions,8,29,9955.58,0
12990,1,At Risk,118,5,643.5,0
12993,0,Loyal Customers,15,8,1020.17,0
12997,2,Potential Loyalists,41,13,1492.49,0
12998,1,At Risk,300,4,920.08,1
13000,1,At Risk,67,4,956.18,0
13001,3,Champions,25,33,21697.13,0
13002,1,At Risk,126,3,414.13000000000005,1
13004,3,Champions,8,32,8442.960000000001,0
13005,0,Loyal Customers,53,5,807.6299999999999,0
13008,2,Potential Loyalists,131,7,612.1299999999999,1
13010,1,At Risk,182,2,330.12,1
13012,0,Loyal Customers,21,7,2018.38,0
13013,3,Champions,20,20,10187.12,0
13014,0,Loyal Customers,21,8,3242.83,0
13015,3,Champions,5,13,5003.18,0
13018,3,Champions,4,20,6159.42,0
13019,2,Potential Loyalists,187,8,1229.95,1
13020,1,At Risk,356,5,618.9600000000002,1
13021,3,Champions,23,17,3035.86,0
13024,1,At Risk,272,3,555.87,1
13026,0,Loyal Customers,28,7,1001.4399999999998,0
13027,3,Champions,41,17,14263.2,0
13029,1,At Risk,161,3,1062.3,0
13031,2,Potential Loyalists,215,5,3419.2700000000004,1
13032,2,Potential Loyalists,200,8,1833.37,0
13033,1,At Risk,165,2,220.55,1
13034,1,At Risk,177,2,445.77,0
13035,1,At Risk,68,2,775.32,0
13037,3,Champions,27,15,3611.2,0
13039,1,At Risk,392,4,1010.73,1
13041,1,At Risk,258,4,799.13,1
13042,2,Potential Loyalists,392,4,1556.54,1
13044,2,Potential Loyalists,99,13,4853.9,1
13045,1,At Risk,209,2,503.64,0
13046,1,At Risk,74,2,517.66,0
13047,3,Champions,27,32,7229.299999999999,0
13048,2,Potential Loyalists,46,10,3188.2200000000003,0
13049,1,At Risk,126,4,905.34,0
13050,3,Champions,4,41,9276.15,0
13051,1,At Risk,386,2,155.8,1
13052,0,Loyal Customers,20,7,3167.6800000000003,1
13055,0,Loyal Customers,21,3,1451.56,0
13057,1,At Risk,338,4,722.09,1
13059,2,Potential Loyalists,57,12,2303.17,1
13064,1,At Risk,135,3,764.55,0
13065,2,Potential Loyalists,181,6,1260.91,1
13067,1,At Risk,217,2,393.05,0
13069,3,Champions,6,29,7778.549999999999,0
13070,0,Loyal Customers,0,5,751.6999999999999,1
13073,1,At Risk,219,2,418.08,1
13074,2,Potential Loyalists,319,5,1378.74,1
13077,2,Potential Loyalists,98,13,2912.84,0
13078,3,Champions,7,70,21371.67,0
13080,1,At Risk,209,4,222.65000000000003,0
13081,3,Champions,12,34,45331.28,0
13082,3,Champions,42,21,5682.3,0
13084,1,At Risk,295,2,122.4,1
13085,0,Loyal Customers,33,8,2295.3,0
13089,3,Champions,5,193,85851.97,0
13090,3,Champions,46,20,8273.869999999999,0
13091,1,At Risk,537,3,762.98,0
13092,0,Loyal Customers,19,14,2102.2000000000003,0
13093,3,Champions,75,87,54943.65,1
13094,0,Loyal Customers,13,10,1446.2399999999996,0
13097,3,Champions,41,30,10074.32,0
13098,3,Champions,6,16,7203.61,0
13101,0,Loyal Customers,42,4,695.4,1
13102,3,Champions,6,33,9041.99,0
13103,1,At Risk,245,2,465.7,0
13104,2,Potential Loyalists,75,5,824.34,0
13107,2,Potential Loyalists,137,12,4288.29,0
13108,1,At Risk,180,2,1098.52,1
13109,1,At Risk,357,2,347.49,0
13110,2,Potential Loyalists,65,10,2201.29,0
13112,1,At Risk,349,3,20.6,1
13113,3,Champions,0,48,15235.93,0
13115,2,Potential Loyalists,109,12,3199.92,0
13117,3,Champions,25,17,2410.27,0
13118,0,Loyal Customers,16,9,2017.3,0
13123,1,At Risk,280,2,506.75,1
13124,2,Potential Loyalists,60,3,3490.24,0
13126,2,Potential Loyalists,61,15,2976.0300000000007,0
13129,1,At Risk,260,2,233.25,1
13131,2,Potential Loyalists,226,4,2240.47,0
13133,1,At Risk,81,3,200.45,1
13134,0,Loyal Customers,42,6,1207.35,0
13135,0,Loyal Customers,4,2,3371.45,1
13136,3,Champions,19,16,4241.41,0
13137,2,Potential Loyalists,60,10,4926.129999999999,0
13138,0,Loyal Customers,48,4,891.7,0
13139,0,Loyal Customers,23,3,4308.06,0
13140,1,At Risk,174,3,951.47,0
13141,3,Champions,22,20,6680.860000000001,0
13143,1,At Risk,390,2,405.1,1
13144,1,At Risk,140,2,135.35,1
13145,1,At Risk,180,4,1100.0,0
13148,3,Champions,40,27,6703.52,0
13150,1,At Risk,278,4,449.97,1
13151,0,Loyal Customers,11,5,2570.24,1
13152,2,Potential Loyalists,225,9,2146.38,1
13154,2,Potential Loyalists,207,4,1624.84,1
13155,2,Potential Loyalists,134,4,1347.62,0
13156,1,At Risk,193,3,1586.54,1
13157,2,Potential Loyalists,43,8,4444.08,0
13158,1,At Risk,126,2,563.53,0
13161,1,At Risk,121,2,478.88,1
13162,3,Champions,41,17,8888.890000000001,0
13163,1,At Risk,418,2,17.65,1
13164,1,At Risk,377,3,372.2000000000001,1
13165,1,At Risk,159,2,784.32,0
13166,1,At Risk,90,3,884.18,1
13168,0,Loyal Customers,7,5,1528.78,0
13169,1,At Risk,60,2,632.4,0
13173,2,Potential Loyalists,175,12,2441.64,0
13174,2,Potential Loyalists,124,10,8763.18,0
13175,1,At Risk,362,4,831.45,1
13178,3,Champions,11,19,11052.92,0
13183,3,Champions,16,12,4605.479999999999,0
13184,0,Loyal Customers,35,5,745.3100000000001,0
13187,1,At Risk,145,5,348.01,1
13190,1,At Risk,352,4,570.6600000000001,1
13192,0,Loyal Customers,13,7,2110.96,0
13196,2,Potential Loyalists,70,5,1783.19,0
13198,2,Potential Loyalists,57,8,3660.74,0
13199,3,Champions,5,45,10340.93,0
13201,1,At Risk,310,4,1240.6099999999997,1
13202,2,Potential Loyalists,186,8,1580.3,1
13203,2,Potential Loyalists,50,8,1944.5,0
13206,2,Potential Loyalists,208,13,8377.32,1
13207,1,At Risk,259,2,285.6,0
13208,0,Loyal Customers,14,6,1464.81,0
13209,3,Champions,28,10,4980.34,0
13211,2,Potential Loyalists,169,10,1642.6,0
13213,0,Loyal Customers,7,10,2746.2200000000003,0
13214,2,Potential Loyalists,225,7,3264.23,1
13220,0,Loyal Customers,27,3,1076.49,0
13221,1,At Risk,48,2,844.86,1
13223,0,Loyal Customers,8,6,969.12,1
13225,3,Champions,4,14,13538.11,0
13226,1,At Risk,81,2,312.46,1
13230,3,Champions,9,25,5342.790000000001,0
13233,1,At Risk,144,3,875.5799999999999,0
13234,1,At Risk,480,2,356.95,1
13238,1,At Risk,168,3,397.05,0
13239,2,Potential Loyalists,69,6,1594.69,1
13240,2,Potential Loyalists,65,7,1496.88,0
13242,0,Loyal Customers,21,6,533.0,0
13243,0,Loyal Customers,11,5,1278.04,1
13246,0,Loyal Customers,14,11,3048.65,0
13249,2,Potential Loyalists,69,7,1189.36,0
13250,1,At Risk,260,3,256.04,1
13252,1,At Risk,202,3,399.3,1
13253,2,Potential Loyalists,147,3,2397.19,0
13255,1,At Risk,181,2,730.6499999999999,0
13257,1,At Risk,235,3,149.75,1
13258,0,Loyal Customers,13,3,561.22,0
13259,2,Potential Loyalists,205,8,1137.31,0
13261,1,At Risk,76,2,944.1,1
13262,1,At Risk,71,3,573.45,1
13263,3,Champions,6,18,4535.47,0
13266,3,Champions,11,20,3811.35,0
13267,3,Champions,7,38,7446.91,0
13269,3,Champions,21,19,5593.7,0
13275,1,At Risk,191,2,241.66,1
13276,2,Potential Loyalists,205,5,1348.33,0
13277,1,At Risk,188,3,264.9,0
13278,1,At Risk,207,3,882.6199999999999,0
13280,2,Potential Loyalists,124,7,2207.13,0
13281,1,At Risk,245,3,350.85,1
13282,0,Loyal Customers,19,3,525.75,0
13283,1,At Risk,375,2,279.7,0
13284,1,At Risk,130,2,201.19,1
13285,0,Loyal Customers,34,4,1828.74,0
13287,1,At Risk,391,7,781.5900000000001,1
13288,2,Potential Loyalists,251,6,927.61,1
13291,2,Potential Loyalists,222,10,2959.73,0
13292,1,At Risk,92,5,665.14,0
13293,2,Potential Loyalists,200,7,1192.94,1
13294,1,At Risk,57,2,1299.44,0
13295,2,Potential Loyalists,167,9,1101.97,1
13296,1,At Risk,231,5,705.11,0
13297,2,Potential Loyalists,193,4,2278.77,0
13299,2,Potential Loyalists,76,5,1218.7000000000005,1
13300,1,At Risk,196,3,913.62,0
13301,1,At Risk,30,2,327.77,0
13304,2,Potential Loyalists,159,7,1217.99,1
13305,2,Potential Loyalists,53,10,2394.1,0
13307,1,At Risk,295,2,258.34000000000003,0
13308,0,Loyal Customers,11,2,1099.81,0
13309,0,Loyal Customers,14,3,796.22,0
13310,0,Loyal Customers,8,6,1226.8200000000002,0
13313,0,Loyal Customers,23,12,2499.74,0
13316,2,Potential Loyalists,62,8,8836.32,0
13317,3,Champions,6,28,5526.39,0
13319,3,Champions,12,58,15764.79,0
13320,0,Loyal Customers,19,6,1188.01,0
13324,3,Champions,11,19,7190.51,0
13327,3,Champions,67,17,7673.66,0
13329,2,Potential Loyalists,162,13,4628.17,0
13330,2,Potential Loyalists,123,4,2001.07,0
13333,1,At Risk,219,3,1015.74,1
13334,2,Potential Loyalists,113,4,4387.370000000001,0
13337,1,At Risk,326,2,1575.26,1
13338,2,Potential Loyalists,341,6,1908.6,0
13340,2,Potential Loyalists,84,6,15042.11,0
13345,1,At Risk,84,2,339.5,1
13346,1,At Risk,270,6,299.40000000000003,1
13357,2,Potential Loyalists,65,5,3817.3600000000006,1
13359,1,At Risk,201,2,553.75,0
13360,2,Potential Loyalists,236,6,1503.65,1
13361,1,At Risk,280,2,1450.5,1
13362,2,Potential Loyalists,53,7,3884.86,0
13365,0,Loyal Customers,25,2,700.6,0
13368,2,Potential Loyalists,64,5,1021.5,1
13369,1,At Risk,162,2,516.5600000000001,1
13370,1,At Risk,174,2,1509.74,1
13371,2,Potential Loyalists,306,4,2297.6600000000003,1
13373,2,Potential Loyalists,84,4,5262.639999999999,0
13374,1,At Risk,222,2,372.8,1
13377,1,At Risk,204,3,1452.88,1
13381,3,Champions,15,10,5656.41,0
13382,2,Potential Loyalists,88,5,1387.5800000000002,1
13384,2,Potential Loyalists,198,6,2528.9,0
13386,1,At Risk,222,2,835.46,1
13393,2,Potential Loyalists,391,6,1131.45,1
13394,3,Champions,22,17,5037.01,0
13395,1,At Risk,208,2,872.51,0
13396,1,At Risk,120,2,387.27,0
13397,2,Potential Loyalists,102,9,2249.51,0
13398,0,Loyal Customers,0,2,670.34,1
13399,1,At Risk,272,3,275.4,1
13400,1,At Risk,382,2,310.83,1
13402,1,At Risk,180,3,1222.18,0
13403,1,At Risk,195,2,154.5,0
13405,0,Loyal Customers,12,8,1198.81,1
13406,1,At Risk,235,3,568.9200000000001,1
13407,2,Potential Loyalists,386,6,2244.7,1
13408,3,Champions,11,82,34723.53,0
13410,2,Potential Loyalists,71,8,1603.5400000000002,0
13413,1,At Risk,447,7,429.44,1
13414,2,Potential Loyalists,104,5,1493.64,0
13415,1,At Risk,280,5,800.67,1
13417,0,Loyal Customers,13,6,1264.66,0
13418,3,Champions,11,25,9446.77,0
13421,2,Potential Loyalists,98,10,3066.58,0
13424,1,At Risk,252,2,572.77,1
13425,2,Potential Loyalists,102,6,2180.99,0
13426,3,Champions,46,16,5811.08,0
13427,0,Loyal Customers,23,4,638.4300000000001,0
13428,1,At Risk,322,2,281.51000000000005,0
13431,2,Potential Loyalists,214,7,2047.14,0
13432,1,At Risk,379,2,436.55,1
13433,1,At Risk,245,5,658.3199999999999,1
13434,1,At Risk,193,3,1132.62,0
13435,1,At Risk,184,2,665.34,0
13439,1,At Risk,63,3,986.61,1
13440,2,Potential Loyalists,231,10,1295.2500000000002,1
13442,1,At Risk,475,3,419.87,1
13443,2,Potential Loyalists,256,7,1276.37,1
13444,1,At Risk,182,2,631.68,1
13446,2,Potential Loyalists,228,18,3881.89,1
13448,3,Champions,21,13,6765.050000000001,0
13450,0,Loyal Customers,12,10,2754.86,0
